location,continent_o,country_o,iso_alpha,iso_num,lat,lng,timestamp,city,state-province,country,gender,pronouns,pre_oh,session_1,session_2,session_3,post_oh,total_events,submitted_pr,joined_discord,role,urp,sessions,learn_of_sprint,prior_sprints,os_experience,prior_os_pr,git,prog_langs,python_experience,used_pymc,pymc_repo_familiar,why_in_sprint,prep_work,primary_spoken_language,language_translation,count_rows,count,status_n,status_c
Singapore Singapore,Asia,Singapore,SGD,702,1.357107,103.8194992,7/21/2022 13:27:30,Singapore,Singapore,Singapore,Prefer not to say,Prefer not to say,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Engineer,I identify as an Ally in data science.,"Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Intermediate,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Curiosity,Yes,English,No,1,1,0,Did Not Attend
Kiserian Kenya,Africa,Kenya,KES,404,-1.4303485,36.6867562,7/22/2022 4:08:01,Kiserian,"Kisrian, Kajiado",Kenya,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,1,"Data Scientist, Student, Software developer","No, I do not identify as an under-represented person.","Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)",Meetup,No,No experience,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, Java",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To advance my skills in Open Source ,Yes,English,No,1,1,0,Did Not Attend
Hampton USA,North America,United States,USD,840,37.0300969,-76.3452057,7/22/2022 13:14:07,Hampton,Virginia,USA,Man,he/him,0.0,0.0,1.0,0.0,0.0,1,0.0,1,Data Scientist,I identify as an Ally in data science.,"Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, C+ / C++, Java",Advanced,I am not at all familiar with PyMC.,I am not at all familiar with this library.,i think it would be fun,Yes,English,No,1,1,1,Attended
JAIPUR India,Asia,India,INR,356,26.9154576,75.8189817,8/2/2022 2:10:55,JAIPUR,Rajasthan,India,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,1,"Engineer, Software developer",I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Youtube,No,Intermediate,Yes,comfortable submitting a PR,Python,Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,"I was a Google Summer of Code student in 2018 and recently unable to get back to open source. So, trying to be an active contributor again.",Yes,"English, Hindi",No,1,1,0,Did Not Attend
Bhubaneswar India,Asia,India,INR,356,20.2602964,85.8394521,8/4/2022 2:13:14,Bhubaneswar,Odisha,India,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,1,Student,"No, I do not identify as an under-represented person.","Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,No experience,No,"comfortable cloning a repository, used Git, but am not comfortable",Python,Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To learn new things ,Yes,"Hindi, English",No,1,1,0,Did Not Attend
Nayagarh India,Asia,India,INR,356,20.1160666,85.1119564,8/4/2022 6:11:12,Nayagarh,Odisha,India,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,1,Student,"No, I do not identify as an under-represented person.","Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","Meetup, Slack",Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I am highly experienced with PyMC.,"I am familiar, I have submitted a PR in the past",To Learn new things,Yes,English,No,1,1,0,Did Not Attend
Delhi India,Asia,India,INR,356,28.6600584,77.1565959,8/4/2022 6:58:04,Delhi,Delhi,India,Man,he/him,0.0,0.0,0.0,1.0,0.0,1,1.0,1,"Engineer, Student, Software developer","Yes, I identify as an under-represented person.","Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,Hacktoberfest 2020,Yes,English,No,1,1,1,Attended
Delhi India,Asia,India,INR,356,28.6600584,77.1565959,8/4/2022 11:28:28,Delhi,Delhi,India,Man,he/him,0.0,0.0,0.0,1.0,0.0,1,1.0,1,Student,"No, I do not identify as an under-represented person.","Working session #3: August 4, 2022 (Thursday)","a friend, colleague, etc.  (word of mouth)",No,Beginner,Yes,comfortable cloning a repository,"C+ / C++, Java",No experience with Python,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I want to learn about open source,Yes,"Hindi, English",No,1,1,1,Attended
Choa Chu Kang Singapore,Asia,Singapore,SGD,702,1.3853167,103.744325,8/10/2022 23:46:33,Choa Chu Kang,Choa Chu Kang,Singapore,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Software developer,"No, I do not identify as an under-represented person.","Post-sprint office hours:  August 18, 2022 (Thursday)",LinkedIn,No,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++",Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,To brush up my Bayesian statistical knowledge and having this OS contribution to polish up my resume,Yes,"English, Mandarin",No,1,1,0,Did Not Attend
Faridabad India,Asia,India,INR,356,28.4031478,77.3105561,8/10/2022 23:46:33,Faridabad,Haryana,India,Man,he/him,1.0,1.0,1.0,0.0,0.0,3,1.0,1,Student,I prefer not to answer this question.,,Slack,No,Intermediate,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some PyMC for machine learning analysis.,"I am familiar, I have looked at the codebase.",,,English,No,1,1,1,Attended
